image,H,W,roi_area,work_area,num_boxes,box_idx,x0,y0,x1,y1,area,fill_ratio,mean_score,sat_mean,edge_density,diff_overlap_frac,border_contrast,border_grad
manual_original_0_20251020_113739_049258.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_0_20251020_113739_049258.jpg,,,,,,0,411,103,794,272,65280,0.35112,0.60424,0.03526,0.33635,0.0,0.01383,0.38933
manual_original_0_20251020_113842_843385.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_0_20251020_113842_843385.jpg,,,,,,0,427,98,830,275,71912,0.31434,0.60357,0.03628,0.33605,0.0,0.03047,0.39953
manual_original_1_20251020_112119_612220.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_112119_612220.jpg,,,,,,0,463,98,827,298,73365,0.37882,0.50027,0.03621,0.52954,0.0,0.01707,0.44748
manual_original_1_20251020_112119_612220.jpg,,,,,,1,783,518,838,565,2688,0.1276,0.47014,0.02288,0.9654,0.0,0.01205,0.84089
manual_original_1_20251020_112316_314459.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_112316_314459.jpg,,,,,,0,401,105,773,273,63037,0.34664,0.57693,0.04277,0.34998,0.0,0.00205,0.3863
manual_original_1_20251020_112341_022139.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_112341_022139.jpg,,,,,,0,403,102,820,287,77748,0.37129,0.58596,0.03556,0.35741,0.0,0.00707,0.44107
manual_original_1_20251020_112415_265400.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_112415_265400.jpg,,,,,,0,591,98,866,234,37812,0.4264,0.60228,0.0379,0.28123,0.0,0.02377,0.17097
manual_original_1_20251020_112415_265400.jpg,,,,,,1,407,146,688,275,36660,0.48882,0.6296,0.03395,0.3988,0.0,0.00117,0.38765
manual_original_1_20251020_112443_840490.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_112443_840490.jpg,,,,,,0,591,99,843,221,31119,0.45741,0.55175,0.03799,0.28224,0.0,0.01682,0.15878
manual_original_1_20251020_112443_840490.jpg,,,,,,1,408,146,680,289,39312,0.36335,0.56625,0.03569,0.43793,0.0,0.01217,0.45376
manual_original_1_20251020_112548_368302.jpg,1080,1920,349435,313216,2,,,,,,,,,,,
manual_original_1_20251020_112548_368302.jpg,,,,,,0,397,98,864,290,90324,0.34432,0.61907,0.03579,0.36751,0.0,0.00431,0.46306
manual_original_1_20251020_112548_368302.jpg,,,,,,1,957,477,1044,528,4576,0.28562,0.64889,0.14927,0.68007,1.0,0.37498,0.83017
manual_original_1_20251020_112619_505543.jpg,1080,1920,349435,313216,1,,,,,,,,,,,
manual_original_1_20251020_112619_505543.jpg,,,,,,0,403,99,805,276,71734,0.41064,0.66174,0.03582,0.32575,0.0,0.01555,0.39812
