image,H,W,roi_area,work_area,norm_mode,gamma,score_gamma,percentile,p_val,mean,std,z_k,z_val,min_cap,t_p,t_z,t_base,t_posadj,final_th,t_strong,t_weak,min_cap_used,strong_pixels,weak_pixels,binary_pixels,num_components_strong,num_components_binary,num_components_post_morph,num_components_before,num_components_after,open_r,close_r,extra_dilate,area_thresh,area_iters_small,p_diff_mean,p_diff_std,diff_mask_area,smoothed_mean,smoothed_max,smoothed_median,num_boxes_before_filters,num_boxes_after_filters,after_fill,after_geom,after_road,after_border,after_texture,after_lane,after_merge,reduced_by_fill,reduced_by_geom,reduced_by_road,reduced_by_border,reduced_by_texture,reduced_by_lane,merged_pairs,boxes,areas,fill_ratios,mean_scores,sat_means,edge_densities,diff_overlap_fracs,border_contrasts,border_grads,entropies,anisotropies,mean_fill_ratio,mean_box_score,median_entropy,median_edge_density,filter_flags,profile_name,timestamp,commit_tag,config_path,snapshot_tag
manual_original_1_20251020_090711_692371.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,13218,19405,34447,33,22,10,33,10,3,2,2,1500,2,0.05481769144535065,0.01025646086782217,0,0.36465081572532654,1.0,0.3288378119468689,10,5,9,6,6,6,6,6,5,1,1,0,0,0,0,1,"1383,464,1415,497|1237,570,1271,601|1013,714,1079,773|1121,740,1203,803|673,759,717,793",1122;1120;4020;5312;1575,0.408200;0.355357;0.435075;0.510166;0.469206,0.873709;0.854440;0.862350;0.952097;0.834098,0.039918;0.021293;0.017110;0.006237;0.189350,0.967914;0.956250;0.939303;0.955008;0.914921,-1.000000;-1.000000;-1.000000;-1.000000;-1.000000,0.006030;0.001861;0.031469;0.033274;0.077695,0.360282;0.409354;0.654902;0.614428;0.493592,3.166481;3.301800;3.539574;3.654753;3.466941,0.035270;0.034319;0.089856;0.073676;0.747006,0.4356006850147055,0.8753389596939087,3.466940814540867,0.9550075301204819,fill;geom;merge,,2025-11-03 16:26:06,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_090758_724085.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,1.0,0.36698153614997864,0.2816205322742462,,2.233011598247844,0.065,1.0,2.233011598247844,1.0,0.0,0.9958434510231017,0.9958434510231017,0.9758434510231017,False,12724,18652,0,39,18,0,39,0,3,2,2,1500,2,0.053538840264081955,0.013291344977915287,127,0.36698153614997864,1.0,0.33217671513557434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,225;225;225,0.000000;0.000000;0.000000,0.998145;0.999992;1.000000,0.015791;0.011747;0.012183,0.964444;0.982222;0.982222,0.000000;0.000000;0.000000,0.000076;0.002376;0.004820,0.443088;0.410693;0.425681,3.423792;3.282081;3.169154,0.000000;0.000000;0.000000,0.0,0.9993788003921509,3.2820812157685078,0.9822222222222222,,,2025-11-03 16:26:08,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091015_644894.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,12372,16786,2470,58,38,2,58,2,3,2,2,1500,2,0.051732905209064484,0.02911188267171383,3920,0.3665189743041992,1.0,0.3395369350910187,2,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,"624,726,704,779",4374,0.479881,0.965061,0.152050,0.665066,0.761315,0.178615,0.388328,3.663635,0.068407,0.4798811156835848,0.9650608897209167,3.6636347518778445,0.66506630086877,geom,,2025-11-03 16:26:10,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091133_060417.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,13111,17091,4824,28,24,1,28,1,3,2,2,1500,2,0.051254961639642715,0.02392519637942314,3409,0.34468525648117065,1.0,0.3055397570133209,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"961,804,1089,883",10320,0.454554,0.967032,0.175844,0.836337,0.485398,0.166619,0.596176,4.144229,0.154791,0.45455426356589146,0.9670317769050598,4.144228925972212,0.8363372093023256,,,2025-11-03 16:26:12,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091425_463526.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,1.0,0.34592071175575256,0.27532947063446045,,2.3181958373437137,0.065,1.0,2.3181958373437137,1.0,0.0,0.984188344478607,0.984188344478607,0.964188344478607,False,12867,15335,0,27,19,0,27,0,3,2,2,1500,2,0.048791639506816864,0.016392262652516365,975,0.34592071175575256,1.0,0.3167504370212555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,225;225;225,0.000000;0.000000;0.000000,0.999963;0.999873;0.999999,0.015512;0.037159;0.037107,0.960000;0.897778;0.951111,0.000000;0.000000;0.000000,0.002177;0.002108;0.003106,0.399450;0.302669;0.311778,3.234097;2.835979;2.814536,0.000000;0.000000;0.000000,0.0,0.9999451041221619,2.835978704679554,0.9511111111111111,,,2025-11-03 16:26:14,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091540_226922.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,12986,17376,634,32,25,1,32,1,3,2,2,1500,2,0.05088598653674126,0.015236839652061462,434,0.35115423798561096,1.0,0.3173770606517792,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"977,839,1014,883",1710,0.370760,0.851356,0.455861,0.859064,0.536278,0.140538,0.632065,3.929432,0.388971,0.3707602339181287,0.851356029510498,3.9294322795785623,0.8590643274853801,,,2025-11-03 16:26:16,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091708_477688.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,1.0,0.3785853385925293,0.280374675989151,,2.1876709326599073,0.065,1.0,2.1876709326599073,1.0,0.0,0.9919528675079345,0.9919528675079345,0.9719528675079345,False,12762,17417,0,45,26,0,45,0,3,2,2,1500,2,0.051259517669677734,0.015196113847196102,374,0.3785853385925293,1.0,0.3553244471549988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,225;225;225,0.000000;0.000000;0.000000,0.999954;0.999544;0.999656,0.015111;0.016802;0.017394,0.968889;0.946667;0.946667,0.000000;0.000000;0.000000,0.002182;0.002328;0.001548,0.430116;0.373912;0.393408,3.189107;3.224705;3.145146,0.000000;0.000000;0.000000,0.0,0.9997177322705587,3.1891070490328275,0.9466666666666667,,,2025-11-03 16:26:17,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091817_892802.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,12649,18311,3295,42,27,2,42,2,3,2,2,1500,2,0.0515306182205677,0.02320927008986473,2585,0.36878806352615356,1.0,0.3300303518772125,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,"987,771,1053,819|924,796,1040,854",3283;6903,0.489491;0.349124,0.858895;0.938980,0.058533;0.171503,0.932379;0.692453,0.033603;0.459336,0.019387;0.030092,0.578935;0.579194,3.920899;3.775108,0.266621;0.480770,0.4193074441890893,0.8989371955394745,3.848003076903238,0.8124157392886386,,,2025-11-03 16:26:19,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_091937_535544.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,11781,14234,1926,43,35,1,43,1,3,2,2,1500,2,0.055606551468372345,0.023055683821439743,2137,0.33256036043167114,1.0,0.3059940040111542,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"640,743,704,793",3315,0.529412,0.847497,0.115515,0.787330,0.739601,0.213595,0.447622,4.115985,0.679801,0.5294117647058824,0.8474969863891602,4.115984858057876,0.7873303167420814,,,2025-11-03 16:26:21,f14413d,./config/ROI.config,r101_os8_base_cty.pth
manual_original_1_20251020_092040_390272.jpg,1080,1920,468414,426293,standardized,1.15,1.15,99.8,,,,,,0.065,,,,,,0.24,,,11967,14277,3366,37,28,2,37,2,3,2,2,1500,2,0.05943386256694794,0.021223099902272224,1566,0.3168641924858093,1.0,0.2771238088607788,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,"964,819,1063,879|1064,853,1101,884",6100;1216,0.473115;0.311678,0.969061;0.810186,0.168418;0.021646,0.830984;0.967105,0.357935;0.000000,0.182025;0.001593,0.597017;0.581970,4.037528;3.606683,0.608731;0.163961,0.392396192838654,0.8896237909793854,3.8221052952260894,0.8990444348576359,,,2025-11-03 16:26:23,f14413d,./config/ROI.config,r101_os8_base_cty.pth
